"find_number","material_category","material","weight_in_grams","object_name","object_part","start_date","end_date","minimum_level_height","maximum_level_height","level_1_of_the_functional_classification","level_2_of_the_functional_classification","level_3_of_the_functional_classification","level_4_of_the_functional_classification","glass_deventer_system_code","glass_colour","glass_location_of_production","glass_rim_eve_estimated_vessel_equivalent","glass_base_eve_estimated_vessel_equivalent","glass_reconstructed_object_diameter_in_mm","glass_reconstructed_object_height_in_mm","glass_decoration","glass_mark"
"NZD1.00087GLS014","GLS","glass: colourless",59.00,"beaker/mug",NULL,1950,2000,-5.48,-7.19,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl-bek","colourless","western Europe",NULL,180,NULL,NULL,NULL,NULL
"NZD1.00087GLS015","GLS","glass: colourless",6.00,"marble",NULL,1950,2005,-5.48,-7.19,"Games & Recreation","Marbles","Marble (glass)",NULL,"gl-kni","colourless","Japan/Taiwan",NULL,NULL,16.00,NULL,NULL,NULL
"NZD1.00087GLS016","GLS","glass",6.00,"marble",NULL,1950,1970,-5.48,-7.19,"Games & Recreation","Marbles","Marble (glass)",NULL,"gl-kni","ultramarin","Germany",NULL,NULL,17.00,NULL,NULL,NULL
"NZD1.00087GLS017","GLS","glass",6.00,"marble",NULL,1950,1970,-5.48,-7.19,"Games & Recreation","Marbles","Marble (glass)",NULL,"gl-kni","light green","Germany",NULL,NULL,17.00,NULL,NULL,NULL
"NZD1.00087GLS018","GLS","glass",13.00,"lemonade bottle",NULL,1946,1969,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Lemonade bottle",NULL,"gl-fle-226","emerald green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00087GLS019","GLS","glass",429.00,"bottle",NULL,1950,2000,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","western Europe",40.00,135,NULL,NULL,NULL,NULL
"NZD1.00087GLS020","GLS","glass",55.00,"beer bottle",NULL,1950,2000,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Beer bottle",NULL,"gl-fle","red brown","Netherlands",NULL,65,NULL,NULL,NULL,NULL
"NZD1.00087GLS021","GLS","glass",116.00,"bottle",NULL,1950,2000,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle-214","red brown","western Europe",20.00,40,NULL,NULL,NULL,NULL
"NZD1.00087GLS022","GLS","glass",134.00,"bottle",NULL,1900,2000,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","light green","western Europe",15.00,15,NULL,NULL,NULL,NULL
"NZD1.00087GLS023","GLS","glass",65.00,"bottle",NULL,1800,1900,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","brown green","western Europe",NULL,10,NULL,NULL,NULL,NULL
"NZD1.00087GLS024","GLS","glass: colourless",151.00,"bottle",NULL,1900,2000,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless, with a hint of green","western Europe",15.00,75,NULL,NULL,NULL,NULL
"NZD1.00087GLS025","GLS","glass",19.00,NULL,NULL,1900,2000,-5.48,-7.19,"Not classified",NULL,NULL,NULL,"gl","pink","Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00087GLS026","GLS","glass",103.00,"window glass",NULL,1500,1800,-5.48,-7.19,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","light green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00087GLS027","GLS","glass",23.00,"window glass",NULL,1500,1800,-5.48,-7.19,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","blue green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00087GLS028","GLS","glass",81.00,"case-bottle",NULL,1575,1700,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle-7","blue green","Netherlands/Germany",NULL,40,NULL,NULL,NULL,NULL
"NZD1.00087GLS029","GLS","glass: colourless",645.00,"window glass",NULL,1850,2000,-5.48,-7.19,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00087GLS030","GLS","glass: colourless",347.00,"bottle",NULL,1950,2000,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",25.00,75,NULL,NULL,NULL,NULL
"NZD1.00087GLS031","GLS","glass",60.00,"bottle",NULL,1900,2000,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00087GLS032","GLS","glass",273.00,"wine bottle",NULL,1675,1775,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00087GLS033","GLS","glass: forest-glass",52.00,"roemer","fragment",1630,1725,-5.48,-7.19,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","green","Netherlands/Germany",NULL,100,NULL,NULL,"applique, raspberry prunts",NULL
"NZD1.00087GLS034","GLS","glass: forest-glass",14.00,"stangenglas",NULL,1500,1650,-5.48,-7.19,"Food Processing & Consumption","Consumption: drinking","Stangenglas",NULL,"gl-sta","blue green","Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00087GLS035","GLS","glass",7.00,"kuttrolf",NULL,1575,1650,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, Kuttrolf",NULL,"gl-fle-129","blue green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00087GLS036","GLS","glass",11.00,"storage bottle",NULL,1600,1800,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Large storage bottle, for liquids",NULL,"gl-fle","green","Netherlands/Germany",10.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00087GLS037","GLS","glass: colourless",2.00,"beaker/mug",NULL,1600,1700,-5.48,-7.19,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl-bek-19","colourless, with a hint of grey","the Netherlands/Germany",5.00,NULL,NULL,NULL,"waffle pattern",NULL
"NZD1.00087GLS038","GLS","glass",4.00,NULL,"disk",1875,1925,-5.48,-7.19,"Not classified",NULL,NULL,NULL,"gl","purple","Europe",NULL,NULL,26.00,NULL,NULL,NULL
"NZD1.00088GLS001","GLS","glass",5.00,"window glass",NULL,1500,1800,-5.48,-7.19,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","light green","Netherlands",NULL,NULL,NULL,NULL,"stained",NULL
"NZD1.00088GLS002","GLS","glass",75.00,"wine bottle",NULL,1700,1725,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,25,NULL,NULL,NULL,NULL
"NZD1.00088GLS003","GLS","glass",36.00,"case-bottle",NULL,1600,1700,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle-7","blue green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00088GLS004","GLS","glass: forest-glass",6.00,"maigelein (palm cup)",NULL,1400,1500,-5.48,-7.19,"Food Processing & Consumption","Consumption: drinking",NULL,NULL,"gl-mai-1","light green","Germany",NULL,10,NULL,NULL,NULL,NULL
"NZD1.00088GLS005","GLS","glass: lead-glass",38.00,"goblet",NULL,1740,1800,-5.48,-7.19,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel-1","colourless","England",NULL,NULL,NULL,NULL,"opaque white spiral",NULL
"NZD1.00088GLS006","GLS","glass: forest-glass",12.00,"maigelein (palm cup)",NULL,1400,1500,-5.48,-7.19,"Food Processing & Consumption","Consumption: drinking",NULL,NULL,"gl-mai-1","blue green","Germany",NULL,50,NULL,NULL,NULL,NULL
"NZD1.00088GLS007","GLS","glass",7.00,"wine bottle",NULL,1775,1825,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","brown green","the Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00088GLS008","GLS","glass",114.00,"bottle",NULL,1950,2000,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","western Europe",NULL,35,NULL,NULL,NULL,NULL
"NZD1.00088GLS009","GLS","glass",8.00,"beer bottle",NULL,1960,2005,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Beer bottle",NULL,"gl-fle","red brown","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00088GLS010","GLS","glass",189.00,"bottle",NULL,1950,2000,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle-214","red brown","western Europe",25.00,90,NULL,NULL,NULL,NULL
"NZD1.00088GLS011","GLS","glass",31.00,"bottle",NULL,1900,2000,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","light green","western Europe",NULL,10,NULL,NULL,NULL,NULL
"NZD1.00088GLS012","GLS","glass: forest-glass",9.00,"roemer",NULL,1625,1725,-5.48,-7.19,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","light green","Netherlands/Germany",NULL,NULL,NULL,NULL,"applique, raspberry prunts",NULL
"NZD1.00088GLS013","GLS","glass",32.00,"window glass",NULL,1500,1800,-5.48,-7.19,"Buildings & Structures","Windows","Window glass",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00088GLS014","GLS","glass",14.00,"medicine bottle",NULL,1600,1700,-5.48,-7.19,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle","yellow green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00088GLS015","GLS","glass: colourless",145.00,"window glass",NULL,1850,2000,-5.48,-7.19,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00088GLS016","GLS","glass",14.00,"bottle",NULL,1850,2000,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","yellow green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00088GLS017","GLS","glass: colourless",172.00,"bottle",NULL,1950,2000,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",NULL,15,NULL,NULL,NULL,NULL
"NZD1.00088GLS018","GLS","glass",47.00,"wine bottle",NULL,1675,1775,-5.48,-7.19,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00090GLS001","GLS","glass",200.00,"gin bottle",NULL,1950,2005,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage",NULL,"gl-fle","light green","Netherlands",NULL,65,NULL,NULL,NULL,NULL
"NZD1.00090GLS002","GLS","glass",83.00,"bottle",NULL,1950,2000,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","blue green","western Europe",NULL,50,NULL,NULL,NULL,NULL
"NZD1.00090GLS003","GLS","glass",6.00,"medicine bottle",NULL,1800,1900,-5.90,-7.20,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle","aquamarine","Europe",NULL,40,NULL,NULL,NULL,NULL
"NZD1.00090GLS004","GLS","glass: opaline",16.00,NULL,NULL,1900,2000,-5.90,-7.20,"Not classified",NULL,NULL,NULL,"gl","opaque green","Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00090GLS005","GLS","glass",36.00,"wine bottle",NULL,1675,1725,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,25,NULL,NULL,NULL,NULL
"NZD1.00090GLS006","GLS","glass: colourless",25.00,"goblet",NULL,1715,1750,-5.90,-7.20,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel-6","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00090GLS007","GLS","glass: colourless",37.00,"goblet",NULL,1850,1900,-5.90,-7.20,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00090GLS008","GLS","glass",15.00,"wine bottle",NULL,1775,1825,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","brown green","the Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00090GLS009","GLS","glass",31.00,"wine bottle",NULL,1775,1825,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","brown green","the Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00090GLS010","GLS","glass",79.00,"lemonade bottle",NULL,1946,1969,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Lemonade bottle",NULL,"gl-fle-226","emerald green","Netherlands",NULL,90,NULL,NULL,NULL,NULL
"NZD1.00090GLS011","GLS","glass",165.00,"bottle",NULL,1950,2000,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","western Europe",25.00,35,NULL,NULL,NULL,NULL
"NZD1.00090GLS012","GLS","glass",63.00,"beer bottle",NULL,1950,2000,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Beer bottle",NULL,"gl-fle","red brown","Netherlands",NULL,45,NULL,NULL,NULL,NULL
"NZD1.00090GLS013","GLS","glass",84.00,"bottle",NULL,1950,2000,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","red brown","western Europe",NULL,15,NULL,NULL,NULL,NULL
"NZD1.00090GLS014","GLS","glass: colourless",84.00,"bottle",NULL,1900,2000,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless, with a hint of green","western Europe",NULL,50,NULL,NULL,NULL,NULL
"NZD1.00090GLS015","GLS","glass: forest-glass",12.00,"roemer",NULL,1625,1725,-5.90,-7.20,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","light green","Netherlands/Germany",NULL,NULL,NULL,NULL,"applique, raspberry prunts",NULL
"NZD1.00090GLS016","GLS","glass",48.00,"window glass",NULL,1500,1800,-5.90,-7.20,"Buildings & Structures","Windows","Window glass",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00090GLS017","GLS","glass",11.00,"medicine bottle",NULL,1600,1700,-5.90,-7.20,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle","yellow green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00090GLS018","GLS","glass: colourless",72.00,"window glass",NULL,1850,2000,-5.90,-7.20,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00090GLS019","GLS","glass: colourless",153.00,"bottle",NULL,1950,2000,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",NULL,90,NULL,NULL,NULL,NULL
"NZD1.00090GLS020","GLS","glass",116.00,"bottle",NULL,1900,2000,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,30,NULL,NULL,NULL,NULL
"NZD1.00090GLS021","GLS","glass",293.00,"wine bottle",NULL,1675,1775,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",35.00,10,NULL,NULL,NULL,NULL
"NZD1.00092GLS001","GLS","glass",15.00,"gin bottle",NULL,1750,1850,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage",NULL,"gl-fle","green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00092GLS002","GLS","glass",6.00,"medicine bottle",NULL,1700,1800,-5.90,-7.20,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle","light green","Netherlands/Germany",NULL,50,25.00,NULL,NULL,NULL
"NZD1.00092GLS003","GLS","glass",19.00,"wine bottle",NULL,1700,1775,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00092GLS004","GLS","glass: forest-glass",12.00,"maigelein (palm cup)",NULL,1400,1500,-5.90,-7.20,"Food Processing & Consumption","Consumption: drinking",NULL,NULL,"gl-mai-1","light blue green","Germany",15.00,20,NULL,NULL,NULL,NULL
"NZD1.00092GLS005","GLS","glass: colourless",55.00,"goblet",NULL,1700,1800,-5.90,-7.20,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel-2","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00092GLS006","GLS","glass: colourless",180.00,"beaker/mug",NULL,1900,1950,-5.90,-7.20,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl-bek","colourless","western Europe",NULL,60,NULL,NULL,NULL,NULL
"NZD1.00092GLS007","GLS","glass: colourless",15.00,"plug",NULL,1850,1950,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Plug",NULL,"gl-stp","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00092GLS008","GLS","glass: colourless",47.00,"torch","lens",1930,1970,-5.90,-7.20,"Interiors & Accessories","Torch",NULL,NULL,"gl","colourless","Europe",NULL,NULL,55.00,22.00,NULL,NULL
"NZD1.00092GLS009","GLS","glass",43.00,"wine bottle",NULL,1775,1825,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","brown green","the Netherlands",15.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00092GLS010","GLS","glass: colourless",5.00,"lemonade bottle",NULL,1946,2005,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Lemonade bottle",NULL,"gl-fle-225","colourless, with a hint of green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00092GLS011","GLS","glass",7.00,"lemonade bottle",NULL,1946,1969,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Lemonade bottle",NULL,"gl-fle-226","emerald green","Netherlands",NULL,5,NULL,NULL,NULL,NULL
"NZD1.00092GLS012","GLS","glass",51.00,"bottle",NULL,1950,2000,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","western Europe",NULL,15,NULL,NULL,NULL,NULL
"NZD1.00092GLS013","GLS","glass",45.00,"bottle",NULL,1950,2000,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","red brown","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00092GLS014","GLS","glass",37.00,"bottle",NULL,1900,2000,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","light green","western Europe",NULL,100,NULL,NULL,NULL,NULL
"NZD1.00092GLS015","GLS","glass",155.00,"bottle",NULL,1800,1900,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","brown green","western Europe",NULL,80,NULL,NULL,NULL,NULL
"NZD1.00092GLS016","GLS","glass",7.00,"window glass",NULL,1900,1950,-5.90,-7.20,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","amber","Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00092GLS017","GLS","glass: forest-glass",9.00,"roemer",NULL,1625,1725,-5.90,-7.20,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","light green","Netherlands/Germany",NULL,NULL,NULL,NULL,"applique, raspberry prunts",NULL
"NZD1.00092GLS018","GLS","glass",11.00,"window glass",NULL,1500,1800,-5.90,-7.20,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","light green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00092GLS019","GLS","glass",2.00,"window glass",NULL,1500,1800,-5.90,-7.20,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","blue green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00092GLS020","GLS","glass",96.00,"case-bottle",NULL,1575,1700,-5.90,-7.20,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle-7","blue green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
