"find_number","material_category","material","weight_in_grams","object_name","object_part","start_date","end_date","minimum_level_height","maximum_level_height","level_1_of_the_functional_classification","level_2_of_the_functional_classification","level_3_of_the_functional_classification","level_4_of_the_functional_classification","glass_deventer_system_code","glass_colour","glass_location_of_production","glass_rim_eve_estimated_vessel_equivalent","glass_base_eve_estimated_vessel_equivalent","glass_reconstructed_object_diameter_in_mm","glass_reconstructed_object_height_in_mm","glass_decoration","glass_mark"
"NZR2.00937GLS014","GLS",NULL,3.00,"window glass",NULL,1800,1950,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","green",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00937GLS015","GLS","glass: colourless",23.50,"window glass",NULL,1900,1950,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00937GLS016","GLS","glass: colourless",15.00,NULL,NULL,1700,1850,NULL,NULL,"Not classified",NULL,NULL,NULL,"gl","colourless",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00937GLS017","GLS","glass",13.00,NULL,NULL,1600,1700,NULL,NULL,"Food Processing & Consumption","Consumption: drinking",NULL,NULL,"gl","light green","the Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00938GLS001","GLS",NULL,118.00,"wine bottle",NULL,1850,1900,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-94","light green","Netherlands?",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00938GLS002","GLS",NULL,473.00,"wine bottle",NULL,1750,1800,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","Netherlands?",NULL,100,120.00,NULL,NULL,NULL
"NZR2.00938GLS003","GLS",NULL,7.00,"window glass",NULL,1600,1800,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","light green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00938GLS004","GLS",NULL,350.00,"wine bottle",NULL,1700,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-22","green","western Europe",NULL,70,NULL,NULL,NULL,NULL
"NZR2.00938GLS005","GLS",NULL,423.00,"wine bottle",NULL,1725,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-25","green","the Netherlands/Germany",NULL,90,NULL,NULL,NULL,NULL
"NZR2.00938GLS006","GLS",NULL,17.00,"storage bottle",NULL,1450,1650,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Large storage bottle, for liquids",NULL,"gl-fle-13","light yellow green","Netherlands/Germany",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00938GLS007","GLS",NULL,30.00,"wine bottle",NULL,1675,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,15,NULL,NULL,NULL,NULL
"NZR2.00938GLS008","GLS",NULL,685.00,"wine bottle",NULL,1700,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,70,NULL,NULL,NULL,NULL
"NZR2.00938GLS009","GLS",NULL,53.00,NULL,NULL,1650,1800,NULL,NULL,"Not classified",NULL,NULL,NULL,"gl","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00938GLS010","GLS",NULL,25.00,"mineral water bottle",NULL,1700,1800,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Mineral water jug",NULL,"gl-fle-18","yellow green","the southern Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00938GLS011","GLS","glass: forest-glass",5.00,"roemer",NULL,1630,1700,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","green","the Netherlands/Germany",NULL,NULL,NULL,NULL,"applique, raspberry prunts",NULL
"NZR2.00938GLS012","GLS","glass: lead-glass",34.00,"goblet",NULL,1675,1725,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel-38","colourless","England",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00938GLS013","GLS","glass: colourless",17.00,"goblet",NULL,1600,1700,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel-13","colourless","the Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
