"find_number","material_category","material","feature_number","start_date","end_date","level_1_of_the_functional_classification","level_2_of_the_functional_classification","minimum_level_height","maximum_level_height","avg_level_height","material_simplified"
"NZR2.00036MTL006","MTL","metal","999",NULL,NULL,"Not classified",NULL,NULL,NULL,NULL,"discard"
"NZR2.00037MTL007","MTL","metal","999",NULL,NULL,"Personal Artefacts & Clothing","Belt clasps and mounts",NULL,NULL,NULL,"discard"
"NZR2.00039MTL017","MTL","metal","999",NULL,NULL,"Food Processing & Consumption","Food consumption: cutlery and tools",NULL,NULL,NULL,"discard"
"NZR2.00040MTL003","MTL","metal","999",NULL,NULL,"Not classified",NULL,NULL,NULL,NULL,"discard"
"NZR2.00040MTL006","MTL","metal","999",NULL,NULL,"Not classified",NULL,NULL,NULL,NULL,"discard"
"NZR2.00305MTL004","MTL","metal","999",1450,1550,"Food Processing & Consumption","Food consumption: cutlery and tools",NULL,NULL,NULL,"discard"
"NZR2.00349MTL002","MTL","metal","999",NULL,NULL,"Food Processing & Consumption","Food consumption: cutlery and tools",NULL,NULL,NULL,"discard"
"NZR2.00422MTL010","MTL","metal","999",1550,1650,"Food Processing & Consumption","Food consumption: cutlery and tools",NULL,NULL,NULL,"discard"
"NZR2.00512MTL069","MTL","metal","999",NULL,NULL,"Food Processing & Consumption","Food consumption: cutlery and tools",NULL,NULL,NULL,"discard"
"NZR2.00515MTL301","MTL","metal","999",1500,1937,"Not classified",NULL,NULL,NULL,NULL,"discard"
"NZR2.00516MTL244","MTL","metal","999",1600,1800,"Not classified",NULL,NULL,NULL,NULL,"discard"
"NZR2.00518MTL039","MTL","metal","999",1600,1650,"Food Processing & Consumption","Consumption: drinking",NULL,NULL,NULL,"discard"
"NZR2.00519MTL111","MTL","metal","999",1700,1937,"Food Processing & Consumption","Food consumption: cutlery and tools",NULL,NULL,NULL,"discard"
"NZR2.00519MTL112","MTL","metal","999",1850,1937,"Personal Artefacts & Clothing","Personal accessories",NULL,NULL,NULL,"discard"
"NZR2.00520MTL025","MTL","metal","999",NULL,1936,"Communication & Exchange","Exchange, profane: unspecified token",NULL,NULL,NULL,"discard"
"NZR2.00520MTL073","MTL","metal","999",NULL,NULL,"Personal Artefacts & Clothing","Garment fastener",NULL,NULL,NULL,"discard"
"NZR2.00521MTL039","MTL","metal","999",1550,1850,"Arms & Armour","Ammunition: handgun shot",NULL,NULL,NULL,"discard"
"NZR2.00521MTL084","MTL","metal","999",1650,1900,"Craft & Industry","Tools, general: cutting, punching, chopping",NULL,NULL,NULL,"discard"
"NZR2.00521MTL270","MTL","metal","999",NULL,NULL,"Not classified",NULL,NULL,NULL,NULL,"discard"
"NZR2.00522MTL072","MTL","metal","999",NULL,NULL,"Personal Artefacts & Clothing","Garment fastener",NULL,NULL,NULL,"discard"
"NZR2.00525MTL083","MTL","metal","999",1700,1900,"Science & Technology","Measuring: weight",NULL,NULL,NULL,"discard"
"NZR2.00529MTL162","MTL","metal","999",1500,1937,"Not classified",NULL,NULL,NULL,NULL,"discard"
"NZR2.00530MTL017","MTL","metal","999",1550,1850,"Arms & Armour","Ammunition: handgun shot",NULL,NULL,NULL,"discard"
