"find_number","material_category","material","feature_number","start_date","end_date","level_1_of_the_functional_classification","level_2_of_the_functional_classification","minimum_level_height","maximum_level_height","avg_level_height","material_simplified"
"NZD1.00507MTL060","MTL","metal: lead","777","1400","1600","Craft & Industry","Tools, textile production: spinning","-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00507MTL061","MTL","metal: lead","777","1550","1850","Arms & Armour","Ammunition: handgun shot","-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00507MTL065","MTL","metal: lead","777","1550","1850","Arms & Armour","Ammunition: handgun shot","-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00507MTL070","MTL","metal: lead","777","1800","2000","Communication & Exchange","Exchange, product origin indication. Tag and seal","-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00507MTL071","MTL","metal: lead","777","1600","1700","Communication & Exchange","Exchange, product quality guarantee: Dutch textile","-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00589MTL039","MTL","metal: lead alloy","777","1500","1900","Not classified",NULL,"-18.12","-18.90","-18.5100000000000000","metal: lead"
"NZD1.00507MTL072","MTL","metal: lead","777","1900","1937","Communication & Exchange","Exchange, product specification or quality guarantee: general","-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00507MTL073","MTL","metal: lead","777","1550","1650","Games & Recreation","Toys: miniature food processing & food service","-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00507MTL074","MTL","metal: lead","777","1600","1900","Communication & Exchange","Exchange, product quality guarantee: cloth seal, unknown provenance","-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00507MTL075","MTL","metal: lead","777","1600","1800","Communication & Exchange","Exchange, product quality guarantee: cloth seal, unknown provenance","-11.90","-12.25","-12.0750000000000000","metal: lead"
